NRTX28OOH->TXCARB24+HCHO+NO2+OH         696  1
RTX22OOH->CH3COCH3+RN13O2+OH            695  1
RTX28OOH->TXCARB24+HCHO+HO2+OH          693  1
RTN14OOH->TNCARB10+HCHO+HO2+OH          691  1
RTN24OOH->RTN23O2+OH                    689  1
RTN26OOH->RTN25O2+OH                    687  1
RTN28OOH->TNCARB26+HO2+OH               685  1
RA16OOH->CARB3+UDCARB11+HO2+OH          683  1
NRN12OOH->CH3CHO+CH3CHO+NO2+OH          681  1
NRN6OOH->HCHO+HCHO+NO2+OH               679  1
RN15OOH->C2H5CHO+CH3CHO+HO2+OH          677  1
RN9OOH->CH3CHO+HCHO+HO2+OH              675  1
NRU12OOH->NOA+CARB3+HO2+OH              673  1
RU10OOH->CH3CO3+HOCH2CHO+OH             671  1
UCARB12->CARB7+CO+CO+HO2+HO2            669  1
RN17OOH->RN16O2+OH                      667  1
RN11OOH->RN10O2+OH                      665  1
HOCH2CO3H->HCHO+HO2+OH                  663  1
CH3CO3H->CH3O2+OH                       661  1
RN16OOH->RN15AO2+OH                     659  1
RN13OOH->CH3CHO+C2H5O2+OH               657  1
RN10OOH->C2H5CHO+HO2+OH                 655  1
CH3OOH->HCHO+HO2+OH                     653  1
HONO->OH+NO                             607  1
HPUCARB12->HUCARB9+CO+OH+OH             697  1
HPUCARB12->CARB7+CO+CO+HO2+OH           698  1
HUCARB9->CARB6+CO+HO2+OH                703  1
DHPCARB9->RN8OOH+CO+HO2+OH              699  1
DHPCARB9->CARB6+HCHO+OH+OH              700  1
DHPR12OOH->DHPCARB9+CO+OH+HO2           701  1
DHPR12OOH->CARB3+RN8OOH+OH+OH           702  1
RU14NO3->UCARB10+HCHO+HO2+NO2           704  1
RU10NO3->CH3CO3+HOCH2CHO+NO2            705  1
DHCARB9->CARB7+CO+HO2+HO2               706  1
CARB3->CO+CO+H2                         707  1
CARB3->HCHO+CO                          708  1
RTX24OOH->TXCARB22+HO2+OH               694  1
RTN10OOH->RN8O2+CO+OH                   692  1
RTN23OOH->CH3COCH3+RTN14O2+OH           690  1
RTN25OOH->RTN24O2+OH                    688  1
NRTN28OOH->TNCARB26+NO2+OH              686  1
RA19OOH->CARB6+UDCARB11+HO2+OH          684  1
RA13OOH->CARB3+UDCARB8+HO2+OH           682  1
NRN9OOH->CH3CHO+HCHO+NO2+OH             680  1
RN18OOH->C2H5CHO+C2H5CHO+HO2+OH         678  1
RN12OOH->CH3CHO+CH3CHO+HO2+OH           676  1
HOC2H4OOH->HCHO+HCHO+HO2+OH             674  1
NRU14OOH->NUCARB12+HO2+OH               672  1
RU12OOH->CARB6+HOCH2CHO+HO2+OH          670  1
UCARB12->RU12O2+HO2                     668  1
RN14OOH->RN13O2+OH                      666  1
RN8OOH->CH3CO3+HCHO+OH                  664  1
C2H5CO3H->C2H5O2+OH                     662  1
RN19OOH->RN18AO2+OH                     660  1
RN13OOH->CARB11A+HO2+OH                 658  1
IC3H7OOH->CH3COCH3+HO2+OH               656  1
C2H5OOH->CH3CHO+HO2+OH                  654  1
HNO3->OH+NO2                            608  1
H2O2->OH+OH                             603  1
O3+UCARB10->HCHO+CH3CO3+CO+OH           362  1
O3+UCARB12->CARB6+HO2+CO+OH             374  1
BPINENE+O3->RTX24O2+OH                   70  1
O3+C5H8->UCARB10+CO+HO2+OH               61  1
APINENE+O3->OH+RTN26O2                   65  1
O3+C3H6->HCHO+CO+CH3O2+OH                55  1
O3+TBUT2ENE->CH3CHO+CO+CH3O2+OH          57  1
HO2+NO3->OH+NO2                          33  1
O3+C2H4->HCHO+CO+HO2+OH                  53  1
HO2+O3->OH                               21  1
HO2+NO->OH+NO2                           29  1
O1D->OH+OH                               16  1
O3->O1D                                 601  1
O3->O                                   602  1
NO2->NO+O                               604  1
NO3->NO                                 605  1
NO3->NO2+O                              606  1
HCHO->CO+HO2+HO2                        609  1
HCHO->H2+CO                             610  1
CH3CHO->CH3O2+HO2+CO                    611  1
C2H5CHO->C2H5O2+CO+HO2                  612  1
CH3COCH3->CH3CO3+CH3O2                  613  1
MEK->CH3CO3+C2H5O2                      614  1
CARB14->CH3CO3+RN10O2                   615  1
